2019,2016,2013,2010,2007,2004,2001,1998,1995,1992,1989
2153600,187954.5204,-439.2680802,421058.9467,382309.3405,7495571.531,709204.683,163182077.8,156898.9801,70828.94563,2346.964755
2116200,188071.5134,-439.2680802,258107.1549,387234.6392,8647902.116,714461.6883,52040133.22,118671.6512,70828.94563,2565.749606
2145000,187965.1561,-439.2680802,390353.7862,401566.1476,8839053.424,756358.8656,42380071.42,109173.245,70828.94563,2167.958969
2552500,187965.1561,-439.2680802,249611.9819,387259.3275,8784826.103,531954.0604,52629569.73,147701.0508,70828.94563,2187.848501
2176200,188071.5134,-439.2680802,313178.498,377371.6977,7483370.384,849670.7105,42438422.13,104999.9559,70828.94563,2406.633351
-6710,10.63572433,-9554.080744,154939.7008,7389182.501,5583516.171,226312.636,38059822.81,15073.92053,177173905.8,0
-4710,10.63572433,-9444.263723,154939.7008,7405229.84,5583516.171,226168.2128,37751492.01,15073.92053,98951004.63,0
-8115,5.317862166,-9554.080744,154939.7008,7406464.251,5583516.171,226168.2128,38173473,15073.92053,106530881.7,0
-2510,10.63572433,-9444.263723,154939.7008,7405229.84,5583516.171,226168.2128,38260134.03,15073.92053,104078147.9,0
-5715,10.63572433,-9444.263723,154939.7008,7406464.251,5583516.171,226168.2128,37886280.57,15073.92053,246244641.8,0
33900,312796.6526,-549.0851002,126072.6083,440190.8586,80573204.9,2458083.27,273446.198,1502.384106,275271.1017,202276.5387
36300,286739.128,-658.9021202,123833.9358,401924.1267,80573774.29,2169092.399,282444.1602,1502.384106,274770.5437,214210.2578
33400,264191.3924,-549.0851002,122420.0374,417848.0248,80573936.97,2170536.631,254481.4318,1502.384106,287105.721,202276.5387
33500,284399.2686,-549.0851002,128429.1056,401800.6856,80572825.31,2452161.918,289616.1069,1502.384106,309452.0567,199094.2136
44300,324283.2349,-549.0851002,127015.2072,401800.6856,80573638.72,2366952.215,288892.6211,1502.384106,276379.4799,206254.445
-116660,42138.7398,2319280.555,229169.3674,7298823.637,1166836.393,64290965.73,2280553.245,72865.62914,191820.9456,14579.02683
-116655,43308.66948,2382754.792,219743.378,7302526.869,1165480.71,65533929.76,2275834.859,72865.62914,191820.9456,14579.02683
-117655,42457.81153,2360901.205,218329.4796,7295737.61,1166768.609,67752848.17,2277407.654,72865.62914,191820.9456,12590.07365
-117665,43840.4557,2434588.426,230100.1839,7294996.964,1168192.076,64581819.66,2278980.449,72865.62914,191820.9456,12590.07365
-116665,41819.66807,2514645.033,209846.0891,7290799.967,1168205.633,67872011.77,2277407.654,72865.62914,191820.9456,14579.02683
1590,215479.775,743021.9576,99809.44531,4073.555338,42163.09824,511763.6937,-235.9193012,118354.4812,509853.9953,8194.487112
1890,488924.2475,741594.3363,98513.37177,4196.996409,42163.09824,362675.5997,-235.9193012,118354.4812,508602.6005,6205.53393
1690,203195.5134,743571.0427,93211.25273,4196.996409,43789.91789,346817.9297,-235.9193012,118354.4812,514144.4917,10183.4403
1990,334504.166,743900.4938,97570.77283,4196.996409,42027.52994,400962.1963,-235.9193012,118354.4812,508781.3712,14161.34666
2390,138583.4881,743790.6767,102837.5444,4073.555338,43112.07637,344550.4851,-235.9193012,118354.4812,513429.409,12172.39348
-12480,-11241.96062,63715.83503,4512.692428,2236134.998,1541411.617,40908746.14,48834650.5,156765.4349,718783.2955,10939.2425
-12310,-11241.96062,66735.80308,4524.474914,2235147.47,1550901.398,40895209.35,43861503.08,156882.287,718783.2955,10939.2425
-12440,-11241.96062,59531.80656,4512.692428,2235024.029,1561746.863,39471885.26,45584468.92,156865.5938,718783.2955,10939.2425
-12220,-11241.96062,65461.92565,4524.474914,2234900.588,1527854.787,41111730.09,51564881.66,156698.6623,718783.2955,10939.2425
-12340,-11241.96062,60278.5623,4512.692428,2234900.588,1580726.425,38010976.47,40676576.79,156848.9007,718783.2955,10939.2425
280,635378.1716,324070.0261,1306724.911,34372659.94,448866.6547,76105189.82,-2327.737105,538187.3731,93854.60993,22296.16518
280,637611.6737,325058.3793,1263919.137,30348481.03,496451.1294,76191742.66,-2485.016639,538187.3731,206480.1418,22296.16518
290,636548.1013,326046.7325,1226910.346,45444089.59,675943.564,72760420.17,-4057.81198,538187.3731,167150.591,22296.16518
290,637505.3165,326046.7325,1362302.901,47062402.02,696956.6511,76885147.44,-3900.532446,538187.3731,106368.5579,22296.16518
280,636441.744,324728.9283,1293069.009,51779085.34,567895.6257,73618005.27,-2485.016639,538187.3731,183239.9527,22296.16518
510243800,19442.10408,109256.9532,476742.9791,129736.5655,15454.78666,139512.8342,273351.8303,390948656,86793.16785,62950.36823
462373480,19442.10408,108938.4839,476731.1966,129736.5655,15183.65005,141245.9129,274295.5075,389270593.1,86793.16785,62930.4787
784241870,20505.67651,109696.2213,476731.1966,129613.1244,15495.45715,139512.8342,273980.9484,390518707,86793.16785,62970.25776
526520190,20505.67651,110025.6724,476742.9791,129613.1244,15454.78666,141390.3361,273351.8303,386054706.5,86793.16785,62950.36823
540771980,19442.10408,109487.569,476625.1543,129736.5655,15454.78666,139223.9878,274924.6256,387363867.3,86793.16785,62950.36823
1211300,17570.2166,944.4263724,180154.2225,3418577.016,19286624.78,2031457.067,34975350.96,204073.8411,123083.617,82621.1152
1211300,17570.2166,1229.950625,454686.1639,3418577.016,19289336.14,2032034.759,30460563.29,192388.6314,123405.4043,84053.16149
1210300,17463.85935,-2888.187627,113936.6469,3418577.016,19289336.14,2031168.22,116855202.2,197396.5784,120723.844,84092.94056
1211300,17570.2166,-3975.376125,196531.8791,3418577.016,19277135,2029290.718,24942253.56,200735.2097,124299.2577,82879.67912
1212300,17463.85935,1317.804241,179682.923,3418577.016,19287980.46,2032179.183,200014428.2,192388.6314,119651.2199,84013.38243
523500,10423.00985,-15594.01685,650687.8311,7406.464251,165556.0129,83592.16196,97198.75208,0,32102745.86,-3977.906365
454200,11486.58228,-15594.01685,650746.7435,432.043748,175560.9538,85036.39419,101288.02,0,32020153.81,-3977.906365
501700,11486.58228,-15594.01685,650628.9187,2098.498204,201928.9889,85050.83652,81628.0782,0,32091840.85,-3977.906365
692100,11486.58228,-15594.01685,649568.4949,444.387855,150277.465,83606.60428,101917.1381,0,32092555.93,-3977.906365
500100,11486.58228,-15594.01685,649450.67,1728.174992,200641.09,83606.60428,101130.7404,0,32093271.02,-3977.906365
-7010,189422.2504,577780.2875,579203.484,232398307.1,35158961.81,270173992.2,16678267.81,40647.83665,571708.6525,0
